"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"11","Tony Allen","SG","33","MEM","63","41","26.2","3.6","7.2",".495","0.2","0.5",".345","3.4","6.8",".505",".505","1.3","2.0",".627","1.6","2.8","4.4","1.4","2.0","0.5","1.4","2.6","8.6","1","14.6",".528",".064",".277","7.2","12.2","9.7","8.1","4.1","1.5","14.4","16.6","0.9","3.2","4.1",".119","-0.4","3.7","3.3","2.2","0","1","1","0","0"
"12","Al-Farouq Aminu","SF","24","DAL","74","3","18.5","2.0","4.8",".412","0.5","1.7",".274","1.5","3.1",".485",".459","1.1","1.6",".712","1.5","3.1","4.6","0.8","0.9","0.8","0.7","1.9","5.6","0","14.4",".504",".347",".331","9.1","18.4","13.7","6.1","2.6","3.7","11.9","15.2","1.2","2.0","3.3",".115","-0.5","2.9","2.4","1.5","0","0","1","1","0"
"13","Lou Amundson","PF","32","TOT","53","35","17.7","2.1","4.8",".427","0.0","0.0",".000","2.1","4.8",".429",".427","0.8","1.6",".471","1.8","3.3","5.1","1.3","0.4","1.0","1.2","2.4","4.9","0","11.8",".442",".004",".341","11.3","22.0","16.5","12.2","1.2","4.6","17.5","17.4","-0.6","0.9","0.3",".017","-4.0","2.0","-2.0","0.0","0","0","0","0","0"
"14","Chris Andersen","C","36","MIA","60","20","18.9","2.0","3.5",".580","0.1","0.2",".308","1.9","3.2",".598",".589","1.3","1.9",".667","1.3","3.7","5.0","0.7","0.4","1.0","0.7","1.5","5.3","1","16.1",".622",".063",".551","8.2","23.2","15.9","6.1","1.2","4.6","13.5","12.3","2.1","1.5","3.6",".151","-1.2","2.3","1.0","0.9","0","0","0","1","1"
"15","Alan Anderson","SG","32","BRK","74","19","23.6","2.6","5.9",".443","1.0","2.8",".348","1.6","3.1",".530",".526","1.1","1.4",".812","0.4","2.3","2.8","1.1","0.8","0.1","0.8","2.0","7.4","1","10.6",".563",".477",".230","2.0","11.1","6.6","7.2","1.7","0.2","11.0","14.2","1.7","1.1","2.7",".075","0.0","-0.5","-0.5","0.6","0","1","1","0","0"
"16","Kyle Anderson","SF","21","SAS","33","8","10.8","0.9","2.7",".348","0.1","0.3",".273","0.8","2.4",".359",".365","0.3","0.4",".643","0.2","2.0","2.2","0.8","0.5","0.2","0.3","0.8","2.2","1","8.2",".389",".124",".157","1.6","20.8","11.4","10.9","2.1","1.5","9.5","13.4","-0.3","0.6","0.3",".044","-5.2","2.4","-2.7","-0.1","0","0","1","0","0"
"17","Ryan Anderson","PF","26","NOP","61","5","27.5","4.8","12.0",".399","2.0","5.9",".340","2.8","6.1",".457",".483","2.1","2.5",".854","1.8","3.1","4.8","0.9","0.5","0.3","1.0","1.9","13.7","0","15.6",".524",".492",".207","7.3","12.7","10.0","5.4","1.0","0.9","7.2","23.4","2.6","0.9","3.5",".100","2.0","-3.1","-1.1","0.4","0","0","0","1","1"
"18","Giannis Antetokounmpo","SG","20","MIL","81","71","31.4","4.7","9.6",".491","0.1","0.5",".159","4.6","9.1",".511",".496","3.2","4.3",".741","1.2","5.5","6.7","2.6","0.9","1.0","2.1","3.1","12.7","1","14.8",".552",".056",".445","4.5","19.7","12.2","13.1","1.5","2.8","15.6","19.6","2.2","4.0","6.2",".117","-1.7","2.1","0.5","1.6","0","0","1","0","0"
"19","Carmelo Anthony","SF","30","NYK","40","40","35.7","9.0","20.2",".444","1.5","4.5",".341","7.4","15.7",".474",".482","4.7","5.9",".797","1.8","4.8","6.6","3.1","1.0","0.4","2.2","2.2","24.2","0","21.5",".531",".222",".294","5.7","16.0","10.7","18.0","1.5","1.0","8.9","32.2","2.2","0.6","2.9",".097","3.5","-2.2","1.4","1.2","0","0","1","1","0"
"20","Joel Anthony","C","32","DET","49","0","8.3","0.7","1.3",".581","0.0","0.0",".000","0.7","1.3",".581",".581","0.3","0.4",".682","0.7","1.2","1.9","0.1","0.2","1.0","0.2","1.1","1.8","0","14.7",".607",".000",".355","8.2","17.0","12.4","1.8","1.5","9.5","14.3","9.1","0.5","0.7","1.2",".142","-3.4","4.8","1.4","0.3","0","0","0","1","1"
"21","Pero Antic","PF","32","ATL","63","3","16.5","1.7","4.7",".365","0.8","2.7",".301","0.9","2.0",".455",".453","1.4","2.0",".715","0.9","2.1","3.0","0.8","0.3","0.2","0.8","2.1","5.7","0","9.5",".508",".584",".416","6.6","14.0","10.4","6.9","0.9","1.1","12.3","17.6","0.5","1.0","1.5",".070","-1.3","-1.4","-2.7","-0.2","0","0","0","0","1"
"22","Trevor Ariza","SF","29","HOU","82","82","35.7","4.5","11.1",".402","2.4","6.8",".350","2.1","4.3",".485",".509","1.5","1.7",".853","0.9","4.7","5.6","2.5","1.9","0.2","1.7","2.3","12.8","0","12.7",".539",".610",".157","2.9","14.4","8.6","11.1","2.6","0.5","12.7","16.5","2.7","3.9","6.6",".108","0.6","1.3","1.9","2.9","0","1","1","0","0"
"23","Darrell Arthur","PF","26","DEN","58","4","17.0","2.7","6.6",".404","0.4","1.9",".236","2.2","4.7",".471",".438","0.8","1.0",".780","0.9","2.0","2.9","1.0","0.8","0.4","0.8","2.5","6.6","0","11.5",".466",".286",".154","5.6","13.4","9.3","9.3","2.4","2.1","10.3","20.0","-0.1","0.9","0.9",".042","-1.8","0.7","-1.1","0.2","0","0","0","1","1"
"24","Omer Asik","C","28","NOP","76","76","26.1","2.8","5.4",".517","0.0","0.0",".000","2.8","5.4",".517",".517","1.7","3.0",".582","3.2","6.6","9.8","0.9","0.4","0.7","1.3","1.9","7.3","0","15.5",".545",".000",".546","14.0","28.8","21.4","5.4","0.8","2.1","15.7","14.0","2.8","2.2","5.0",".120","-1.3","0.6","-0.7","0.6","0","0","0","1","1"
"25","D.J. Augustin","PG","27","TOT","82","14","24.0","3.1","7.9",".399","1.0","3.0",".337","2.1","4.9",".436",".463","2.2","2.5",".868","0.2","1.7","2.0","4.3","0.6","0.0","1.8","1.1","9.5","0","13.9",".527",".380",".317","1.1","7.9","4.4","28.2","1.3","0.1","16.4","19.8","2.5","0.9","3.4",".083","0.2","-2.7","-2.5","-0.3","1","0","0","0","0"
"26","Jeff Ayres","PF","27","SAS","51","0","7.5","1.1","1.9",".579","0.0","0.0",".000","1.1","1.9",".579",".579","0.5","0.7",".750","0.7","1.6","2.3","0.3","0.2","0.2","0.5","1.2","2.7","0","14.4",".618",".000",".379","11.2","23.3","17.3","5.5","1.1","1.6","19.0","16.3","0.6","0.6","1.2",".147","-2.1","0.4","-1.7","0.0","0","0","0","1","1"
"27","Luke Babbitt","SF","25","NOP","63","19","13.2","1.5","3.0",".479","0.9","1.8",".513","0.5","1.2",".429",".633","0.2","0.3",".684","0.2","1.6","1.8","0.4","0.3","0.2","0.4","1.0","4.1","1","11.1",".639",".599",".099","1.6","13.5","7.6","4.3","1.1","1.0","11.5","12.4","1.1","0.5","1.6",".092","0.0","-1.4","-1.4","0.1","0","0","1","0","0"
"28","Cameron Bairstow","PF","24","CHI","18","1","3.6","0.2","0.8",".214","0.0","0.0",".000","0.2","0.8",".214",".214","0.2","0.3",".800","0.3","0.1","0.4","0.1","0.1","0.1","0.2","0.4","0.6","0","2.1",".309",".000",".357","10.5","3.3","6.8","2.2","1.6","1.1","15.6","13.5","-0.1","0.0","-0.1","-0.048","-6.7","-1.0","-7.7","-0.1","0","0","0","1","1"
"29","Leandro Barbosa","SG","32","GSW","66","1","14.9","2.8","5.8",".474","0.7","1.7",".384","2.1","4.2",".511",".530","0.9","1.1",".784","0.3","1.0","1.4","1.5","0.6","0.1","0.7","1.3","7.1","0","15.3",".558",".290",".192","2.6","7.2","5.0","14.9","2.0","0.6","9.5","20.5","1.6","1.2","2.8",".137","0.4","-1.2","-0.8","0.3","1","1","0","0","0"
"30","J.J. Barea","PG","30","DAL","77","10","17.7","2.9","7.0",".420","0.7","2.2",".323","2.2","4.8",".463",".470","1.0","1.2",".809","0.3","1.4","1.7","3.4","0.4","0.0","0.9","1.4","7.5","0","15.1",".502",".312",".175","1.8","9.0","5.4","29.5","1.2","0.1","10.8","21.2","2.1","0.6","2.7",".096","1.0","-2.5","-1.5","0.2","1","1","0","0","0"
"31","Andrea Bargnani","C","29","NYK","29","22","27.1","5.7","12.4",".454","0.5","1.4",".366","5.1","11.0",".466",".475","3.0","3.7",".813","1.1","3.3","4.4","1.6","0.1","0.9","1.4","1.8","14.8","0","16.6",".527",".114",".296","4.6","14.4","9.3","11.3","0.1","2.9","9.3","26.4","0.8","0.2","0.9",".058","-1.0","-2.7","-3.7","-0.3","0","0","0","1","1"
"32","Harrison Barnes","SF","22","GSW","82","82","28.3","3.9","8.0",".482","1.1","2.6",".405","2.8","5.4",".519",".548","1.3","1.8",".720","1.4","4.1","5.5","1.4","0.7","0.2","0.9","1.8","10.1","0","13.4",".573",".328",".229","5.6","15.1","10.5","6.9","1.3","0.6","9.0","14.9","3.7","3.0","6.7",".139","0.5","0.6","1.1","1.8","0","0","1","1","0"
"33","Matt Barnes","SF","34","LAC","76","74","29.9","3.6","8.2",".444","1.8","4.9",".362","1.9","3.3",".569",".553","1.0","1.3",".779","0.7","3.3","4.0","1.5","0.9","0.7","1.1","3.2","10.1","1","11.3",".574",".603",".152","2.6","12.2","7.5","7.2","1.5","1.8","11.6","14.9","2.2","2.1","4.3",".091","0.9","0.7","1.6","2.1","0","1","1","0","0"
"34","Earl Barron","C","33","PHO","16","1","8.9","0.8","2.4",".308","0.1","0.3",".500","0.6","2.2",".286",".333","0.4","0.8",".500","0.9","0.9","1.8","0.3","0.3","0.1","0.3","1.6","2.0","0","5.0",".361",".103",".308","10.6","10.8","10.7","4.9","1.4","1.1","10.1","15.1","-0.1","0.1","0.0","-0.011","-5.0","-0.9","-5.9","-0.1","0","0","0","1","1"
"35","Will Barton","SG","24","TOT","58","0","16.9","2.6","6.1",".425","0.4","1.5",".271","2.2","4.6",".474",".458","1.3","1.6",".787","0.4","2.3","2.8","1.4","0.8","0.3","1.1","1.2","6.8","0","13.6",".503",".241",".266","2.8","15.3","8.9","13.0","2.5","1.5","13.4","20.2","0.2","1.1","1.3",".063","-1.7","1.1","-0.6","0.3","0","1","1","0","0"
"36","Brandon Bass","PF","29","BOS","82","43","23.5","4.2","8.3",".504","0.1","0.4",".281","4.1","7.9",".515",".510","2.1","2.6",".790","1.7","3.2","4.9","1.3","0.5","0.4","1.0","1.7","10.6","1","16.3",".557",".047",".313","7.8","14.9","11.3","8.6","1.1","1.3","9.6","19.5","3.4","1.9","5.3",".132","-0.4","-0.1","-0.5","0.7","0","0","0","1","1"
"37","Nicolas Batum","SF","26","POR","71","71","33.5","3.4","8.5",".400","1.4","4.4",".324","2.0","4.1",".481",".483","1.2","1.4",".857","0.9","5.0","5.9","4.8","1.1","0.6","1.9","1.5","9.4","0","13.1",".516",".515",".163","2.8","15.6","9.4","20.5","1.7","1.2","17.0","14.6","2.0","3.2","5.2",".105","0.6","2.6","3.1","3.1","0","1","1","0","0"
"38","Jerryd Bayless","PG","26","MIL","77","4","22.3","2.9","6.7",".426","0.5","1.6",".308","2.4","5.1",".462",".462","1.6","1.8",".883","0.3","2.5","2.7","3.0","0.8","0.2","1.7","2.1","7.8","0","11.1",".519",".233",".266","1.5","12.5","7.0","21.0","1.8","0.6","18.8","18.6","0.3","2.0","2.4",".066","-2.3","-0.3","-2.6","-0.3","1","1","0","0","0"
"39","Aron Baynes","C","28","SAS","70","17","16.0","2.6","4.7",".566","0.0","0.1",".250","2.6","4.6",".570",".567","1.3","1.5",".865","1.6","3.0","4.5","0.5","0.2","0.3","0.9","2.3","6.6","1","15.9",".618",".012",".318","11.2","20.7","16.1","4.9","0.7","1.5","14.8","17.8","2.3","1.6","3.9",".166","-0.7","-0.2","-1.0","0.3","0","0","0","0","1"
"40","Kent Bazemore","SG","25","ATL","75","10","17.7","1.9","4.4",".426","0.6","1.8",".364","1.2","2.7",".467",".498","0.8","1.3",".600","0.3","2.7","3.0","1.0","0.7","0.4","1.0","1.7","5.2","0","9.7",".520",".399",".302","1.9","16.8","9.6","8.6","2.0","2.1","16.3","15.5","-0.4","1.9","1.6",".057","-3.1","1.3","-1.8","0.1","0","1","1","0","0"
"41","Bradley Beal","SG","21","WAS","63","59","33.4","5.8","13.5",".427","1.7","4.1",".409","4.1","9.4",".434",".489","2.1","2.6",".783","0.9","2.9","3.8","3.1","1.2","0.3","2.0","2.2","15.3","0","14.0",".521",".304",".195","3.1","9.6","6.4","15.0","1.8","0.7","11.7","22.5","1.3","2.4","3.7",".085","0.5","-0.1","0.5","1.3","0","1","0","0","0"
"42","Michael Beasley","SF","26","MIA","24","1","21.0","3.8","8.8",".434","0.3","1.4",".235","3.5","7.4",".472",".453","0.8","1.1",".769","0.5","3.2","3.7","1.3","0.6","0.5","1.5","2.8","8.8","1","10.6",".474",".160",".123","2.9","17.9","10.6","11.5","1.6","2.2","14.2","24.2","-0.6","0.5","-0.1","-0.007","-4.3","-0.4","-4.7","-0.3","0","0","1","1","0"
"43","Marco Belinelli","SG","28","SAS","62","9","22.4","3.2","7.6",".423","1.4","3.7",".374","1.8","3.9",".471",".515","1.4","1.6",".848","0.4","2.1","2.5","1.5","0.5","0.0","1.0","1.4","9.2","0","12.4",".553",".489",".211","2.2","10.5","6.4","10.3","1.1","0.2","10.6","18.8","1.5","1.4","2.9",".100","0.6","-1.1","-0.5","0.5","0","1","1","0","0"
"44","Jerrelle Benimon","PF","23","UTA","2","0","1.5","0.0","0.0",".000","0.0","0.0",".000","0.0","0.0",".000",".000","0.0","0.0",".000","0.5","1.0","1.5","0.0","0.0","0.0","0.5","0.0","0.0","0","4.7",".000",".000",".000","38.7","76.6","57.8","0.0","0.0","0.0","100.0","15.3","0.0","0.0","0.0","-0.215","-20.3","-6.6","-26.9","0.0","0","0","0","1","0"
"45","Anthony Bennett","PF","21","MIN","57","3","15.7","2.2","5.2",".421","0.1","0.4",".304","2.1","4.8",".431",".433","0.7","1.1",".641","0.9","2.9","3.8","0.8","0.5","0.3","0.6","1.5","5.2","0","11.4",".458",".077",".215","6.5","21.6","13.8","8.7","1.5","1.4","10.0","17.8","-0.1","0.4","0.3",".017","-3.6","-1.2","-4.8","-0.6","0","0","1","1","0"
"46","Patrick Beverley","PG","26","HOU","56","55","30.8","3.6","9.5",".383","2.1","5.8",".356","1.6","3.7",".426",".492","0.8","1.1",".750","1.2","3.0","4.2","3.4","1.1","0.4","1.5","3.3","10.1","0","11.3",".509",".607",".113","4.3","10.8","7.6","17.2","1.7","1.0","12.9","16.1","1.7","1.8","3.5",".096","0.5","0.3","0.8","1.2","1","1","0","0","0"
"47","Sim Bhullar","C","22","SAC","3","0","1.0","0.3","0.7",".500","0.0","0.0",".000","0.3","0.7",".500",".500","0.0","0.0",".000","0.0","0.3","0.3","0.3","0.0","0.3","0.0","0.0","0.7","0","44.3",".500",".000",".000","0.0","36.5","18.9","78.5","0.0","26.3","0.0","29.4","0.0","0.0","0.0",".389","9.4","17.1","26.6","0.0","0","0","0","0","1"
"48","Bismack Biyombo","C","22","CHO","64","21","19.4","1.6","2.9",".543","0.0","0.0",".000","1.6","2.9",".543",".543","1.6","2.7",".583","2.5","3.9","6.4","0.3","0.3","1.5","0.8","2.2","4.8","0","15.2",".578",".000",".941","13.7","22.6","18.0","2.0","0.7","6.3","16.5","11.6","1.8","2.2","4.0",".156","-3.2","2.8","-0.4","0.5","0","0","0","1","1"
"49","Tarik Black","C","23","TOT","63","39","19.0","2.5","4.3",".575","0.0","0.0",".000","2.5","4.3",".577",".575","1.0","1.9",".551","2.3","3.6","5.8","0.7","0.3","0.4","0.8","2.5","6.0","0","14.7",".583",".004",".432","12.8","21.4","17.0","5.6","0.8","1.6","12.9","13.8","2.2","0.9","3.1",".124","-1.0","-0.6","-1.6","0.1","0","0","0","1","1"
"50","DeJuan Blair","PF","25","WAS","29","0","6.2","0.9","2.0",".456","0.0","0.0",".000","0.9","2.0",".456",".456","0.1","0.2",".667","0.6","1.4","1.9","0.1","0.2","0.0","0.4","1.4","1.9","0","7.7",".469",".000",".105","10.3","24.5","17.5","2.6","2.0","0.4","17.9","18.3","-0.2","0.3","0.1",".033","-6.4","-1.0","-7.4","-0.2","0","0","0","1","1"
"51","Steve Blake","PG","34","POR","81","0","18.9","1.5","4.0",".373","1.0","2.7",".352","0.6","1.3",".417",".491","0.4","0.5",".707","0.2","1.5","1.7","3.6","0.5","0.1","1.3","1.5","4.3","0","9.5",".507",".670",".125","1.1","8.3","4.8","26.2","1.4","0.2","23.2","13.2","0.7","1.4","2.1",".066","-1.2","-0.9","-2.1","0.0","1","1","0","0","0"
"52","Eric Bledsoe","PG","25","PHO","81","81","34.6","5.8","12.9",".447","1.1","3.4",".324","4.7","9.6",".491",".489","4.4","5.4",".800","0.9","4.3","5.2","6.1","1.6","0.6","3.4","2.3","17.0","0","18.4",".555",".260",".422","2.8","13.9","8.3","27.9","2.3","1.2","18.1","23.7","4.1","2.9","7.0",".119","1.7","0.9","2.6","3.3","1","1","0","0","0"
"53","Vander Blue","SG","22","LAL","2","1","37.0","4.5","15.0",".300","1.0","5.0",".200","3.5","10.0",".350",".333","1.0","2.5",".400","1.0","3.5","4.5","4.0","1.5","0.0","3.0","2.0","11.0","0","4.0",".342",".333",".167","2.9","10.9","6.7","16.8","2.1","0.0","15.7","23.0","-0.3","0.0","-0.2","-0.156","-6.0","-2.5","-8.5","-0.1","1","0","0","0","0"
"54","Bojan Bogdanovic","SF","25","BRK","78","28","23.8","3.3","7.4",".453","1.2","3.3",".355","2.2","4.1",".531",".532","1.1","1.4",".821","0.6","2.1","2.7","0.9","0.4","0.1","1.0","1.3","9.0","1","11.6",".562",".444",".184","3.0","9.8","6.4","5.8","0.9","0.4","11.1","17.2","1.7","0.7","2.4",".062","0.0","-1.9","-1.8","0.1","0","1","1","0","0"
"55","Andrew Bogut","C","30","GSW","67","65","23.6","3.0","5.3",".563","0.0","0.0",".000","3.0","5.3",".563",".563","0.3","0.6",".524","2.1","6.0","8.1","2.7","0.6","1.7","1.6","2.8","6.3","1","15.8",".565",".000",".118","9.9","26.5","18.5","15.4","1.2","5.3","22.1","13.2","1.9","3.4","5.2",".159","-1.4","5.5","4.1","2.4","0","0","0","0","1"
"56","Matt Bonner","PF","34","SAS","72","19","13.0","1.3","3.2",".409","0.6","1.8",".365","0.7","1.4",".462",".509","0.4","0.5",".811","0.4","1.2","1.6","0.7","0.1","0.2","0.2","0.9","3.7","0","10.1",".536",".548",".161","3.6","10.2","7.0","7.1","0.5","1.0","4.3","12.5","1.3","0.9","2.1",".110","-0.2","-0.7","-0.9","0.3","0","0","0","1","1"
"57","Trevor Booker","PF","27","UTA","79","5","19.8","2.9","5.9",".487","0.4","1.1",".345","2.5","4.8",".518",".518","1.1","1.9",".581","1.8","3.3","5.0","1.1","0.5","0.5","1.1","1.8","7.2","0","15.3",".536",".181",".319","10.3","19.0","14.7","9.0","1.5","2.1","14.3","18.1","1.7","1.9","3.6",".110","-0.6","0.7","0.2","0.9","0","0","0","1","0"
"58","Carlos Boozer","PF","33","LAL","71","26","23.8","5.2","10.5",".499","0.0","0.0",".000","5.2","10.5",".499",".499","1.3","2.1",".627","1.6","5.2","6.8","1.3","0.6","0.2","1.3","2.6","11.8","0","16.4",".517",".000",".202","7.0","25.2","15.7","10.3","1.2","0.6","10.2","23.7","1.2","1.0","2.2",".062","-1.8","-1.5","-3.3","-0.6","0","0","0","1","1"
"59","Chris Bosh","C","30","MIA","44","44","35.4","7.8","16.9",".460","1.4","3.8",".375","6.4","13.1",".485",".503","4.1","5.3",".772","1.0","6.0","7.0","2.2","0.9","0.6","2.2","1.6","21.1","0","19.8",".548",".226",".311","3.6","20.0","12.0","12.0","1.4","1.4","10.1","28.4","2.1","1.5","3.6",".111","1.0","-1.0","-0.1","0.8","0","0","0","1","1"
"60","Avery Bradley","SG","24","BOS","77","77","31.5","5.6","13.1",".429","1.6","4.6",".352","4.0","8.6",".470",".490","1.0","1.3",".790","0.6","2.5","3.1","1.8","1.1","0.2","1.4","2.3","13.9","0","11.5",".507",".348",".099","2.0","8.9","5.4","8.9","1.7","0.5","9.4","21.0","0.4","2.1","2.5",".049","-0.8","-0.9","-1.7","0.2","1","1","0","0","0"
"61","Elton Brand","C","35","ATL","36","4","13.5","1.2","2.6",".442","0.0","0.0",".000","1.2","2.6",".447",".442","0.3","0.6",".522","0.8","2.0","2.8","0.6","0.5","0.7","0.5","1.5","2.7","1","9.4",".457",".011",".242","6.8","16.4","11.8","6.4","1.8","4.3","14.6","11.6","-0.1","0.8","0.7",".070","-4.5","3.1","-1.4","0.1","0","0","0","1","1"
"62","Corey Brewer","SF","28","TOT","80","17","26.1","4.3","10.1",".426","0.8","2.9",".268","3.5","7.1",".491",".465","2.1","2.8",".743","1.0","2.7","3.7","2.2","1.4","0.2","1.6","2.2","11.5","0","13.9",".507",".292",".281","4.2","11.7","7.9","13.8","2.7","0.7","12.7","21.6","1.0","2.1","3.1",".071","-0.8","-0.3","-1.1","0.5","0","1","1","0","0"
"63","Aaron Brooks","PG","30","CHI","82","21","23.0","4.2","10.0",".421","1.5","3.8",".387","2.7","6.1",".442",".495","1.8","2.1",".833","0.4","1.6","2.0","3.2","0.7","0.2","1.9","2.3","11.6","1","14.4",".534",".383",".213","1.9","7.5","4.8","24.2","1.5","0.6","14.9","25.0","1.7","1.5","3.3",".083","1.0","-2.4","-1.4","0.3","1","0","0","0","0"
"64","Jabari Brown","SG","22","LAL","19","5","29.9","3.7","8.9",".412","1.2","3.3",".371","2.5","5.7",".435",".479","3.4","4.5",".753","0.2","1.7","1.9","2.1","0.6","0.1","1.7","1.7","11.9","0","11.0",".547",".365",".500","0.6","6.7","3.5","11.0","1.1","0.3","13.4","18.8","0.4","0.0","0.4",".033","-0.8","-3.0","-3.8","-0.3","0","1","0","0","0"
"65","Lorenzo Brown","PG","24","MIN","29","7","18.9","1.8","4.2",".426","0.2","1.0",".214","1.6","3.2",".489",".451","0.4","0.7",".632","0.5","1.9","2.4","3.1","1.0","0.2","1.0","1.7","4.2","1","11.0",".468",".230",".156","2.8","12.0","7.3","24.9","2.6","0.9","18.7","12.9","0.1","0.2","0.3",".025","-1.9","-0.6","-2.6","-0.1","1","0","0","0","0"
"66","Markel Brown","SG","23","BRK","47","29","16.6","1.6","4.5",".362","0.4","1.4",".266","1.3","3.1",".404",".402","1.0","1.2",".825","0.3","1.9","2.3","0.8","0.7","0.3","0.6","1.2","4.6","0","9.1",".459",".305",".271","2.3","13.0","7.7","7.4","2.1","1.2","10.3","15.3","-0.2","0.7","0.5",".031","-3.0","0.3","-2.7","-0.1","0","1","0","0","0"
